# Length (nm)	T_avg
1.000000000000000000e+00	5.507204504031706360e-01
2.000000000000000000e+00	1.593509200187929742e-01
3.000000000000000000e+00	3.896297230219585711e-02
4.000000000000000000e+00	9.329084092748976542e-03
5.000000000000000000e+00	2.276318249043055540e-03
6.000000000000000000e+00	5.736627832846433747e-04
7.000000000000000000e+00	1.510348261170309345e-04
8.000000000000000000e+00	4.263501440043507572e-05
9.000000000000000000e+00	1.382957419941526364e-05
1.000000000000000000e+01	5.884799081858090455e-06
