------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         4.20871e-12,                0.005
         6.61435e-12,               0.0075
         9.24086e-12,                 0.01
         1.21045e-11,               0.0125
         1.52228e-11,                0.015
         1.86142e-11,               0.0175
         2.22988e-11,                 0.02
         2.62977e-11,               0.0225
         3.06337e-11,                0.025
         3.53312e-11,               0.0275
         4.04159e-11,                 0.03
         4.59158e-11,               0.0325
         5.18603e-11,                0.035
         6.52121e-11,                 0.04
         8.07516e-11,                0.045
         9.87982e-11,                 0.05
         1.19717e-10,                0.055
         1.43923e-10,                 0.06
         1.71893e-10,                0.065
         2.04168e-10,                 0.07
         2.41366e-10,                0.075
         2.84195e-10,                 0.08
         3.33459e-10,                0.085
         3.90079e-10,                 0.09
         4.55105e-10,                0.095
         5.29737e-10,                  0.1
         6.15346e-10,                0.105
         7.13497e-10,                 0.11
         8.25981e-10,                0.115
         9.54842e-10,                 0.12
         1.10242e-09,                0.125
         1.27139e-09,                 0.13
         1.46481e-09,                0.135
         1.68619e-09,                 0.14
         1.93955e-09,                0.145
         2.22947e-09,                 0.15
         2.56122e-09,                0.155
         2.94084e-09,                 0.16
         3.37527e-09,                0.165
         3.87244e-09,                 0.17
         4.44149e-09,                0.175
         5.09289e-09,                 0.18
         5.83869e-09,                0.185
         6.69276e-09,                 0.19
         7.67101e-09,                0.195
         8.79182e-09,                  0.2
         1.00763e-08,                0.205
         1.15489e-08,                 0.21
         1.32376e-08,                0.215
         1.51749e-08,                 0.22
         1.73982e-08,                0.225
          1.9951e-08,                 0.23
         2.28832e-08,                0.235
         2.62529e-08,                 0.24
         3.01271e-08,                0.245
         3.45839e-08,                 0.25
         3.97136e-08,                0.255
         4.56211e-08,                 0.26
         5.24284e-08,                0.265
         6.02774e-08,                 0.27
         6.93335e-08,                0.275
         7.97891e-08,                 0.28
         9.18692e-08,                0.285
         1.05836e-07,                 0.29
         1.21997e-07,                0.295
         1.40711e-07,                  0.3
         1.62399e-07,                0.305
         1.87554e-07,                 0.31
         2.16757e-07,                0.315
         2.50689e-07,                 0.32
         2.90154e-07,                0.325
         3.36096e-07,                 0.33
         3.89634e-07,                0.335
         4.52087e-07,                 0.34
         5.25019e-07,                0.345
         6.10281e-07,                 0.35
         7.10073e-07,                0.355
         8.27009e-07,                 0.36
         9.64203e-07,                0.365
         1.12537e-06,                 0.37
         1.31495e-06,                0.375
         1.53826e-06,                 0.38
         1.80166e-06,                0.385
         2.11281e-06,                 0.39
         2.48094e-06,                0.395
         2.91716e-06,                  0.4
         3.43491e-06,                0.405
         4.05048e-06,                 0.41
         4.78366e-06,                0.415
