# Length (nm)	T_avg
1.000000000000000000e+00	2.432950044956175562e-01
2.000000000000000000e+00	2.300835455482443115e-02
3.000000000000000000e+00	2.117114891378061876e-03
4.000000000000000000e+00	2.137159713462641743e-04
5.000000000000000000e+00	2.595990970508206669e-05
6.000000000000000000e+00	5.498431832534498129e-06
7.000000000000000000e+00	3.010825849099758563e-06
8.000000000000000000e+00	2.659447336255836222e-06
9.000000000000000000e+00	2.632837632049797222e-06
1.000000000000000000e+01	2.657996019189436658e-06
