------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         5.28995e-07,                0.005
         1.10546e-06,                 0.01
         1.73286e-06,                0.015
         2.41489e-06,                 0.02
          3.1555e-06,                0.025
         3.95892e-06,                 0.03
         4.82971e-06,                0.035
         5.77269e-06,                 0.04
         6.79307e-06,                0.045
          7.8964e-06,                 0.05
         9.08864e-06,                0.055
         1.03762e-05,                 0.06
         1.17658e-05,                0.065
         1.32648e-05,                 0.07
         1.48811e-05,                0.075
         1.66231e-05,                 0.08
         1.84996e-05,                0.085
         2.05204e-05,                 0.09
         2.26958e-05,                0.095
         2.50368e-05,                  0.1
         2.75554e-05,                0.105
         3.02642e-05,                 0.11
         3.31769e-05,                0.115
         3.63081e-05,                 0.12
         3.96736e-05,                0.125
         4.32902e-05,                 0.13
         4.71759e-05,                0.135
         5.13503e-05,                 0.14
         5.58342e-05,                0.145
         6.06501e-05,                 0.15
         6.58219e-05,                0.155
         7.13756e-05,                 0.16
         7.73389e-05,                0.165
         8.37419e-05,                 0.17
         9.06166e-05,                0.175
         9.79976e-05,                 0.18
         0.000105922,                0.185
         0.000114431,                 0.19
         0.000123566,                0.195
         0.000133374,                  0.2
         0.000143906,                0.205
         0.000155215,                 0.21
         0.000167359,                0.215
         0.000180402,                 0.22
          0.00019441,                0.225
         0.000209457,                 0.23
         0.000225622,                0.235
          0.00024299,                 0.24
         0.000261652,                0.245
         0.000281708,                 0.25
         0.000303266,                0.255
         0.000326441,                 0.26
         0.000351359,                0.265
         0.000378157,                 0.27
         0.000406981,                0.275
         0.000437991,                 0.28
         0.000471361,                0.285
         0.000507277,                 0.29
         0.000545943,                0.295
         0.000587581,                  0.3
          0.00063243,                0.305
          0.00068075,                 0.31
         0.000732824,                0.315
         0.000788962,                 0.32
         0.000849497,                0.325
         0.000914795,                 0.33
         0.000985254,                0.335
          0.00106131,                 0.34
          0.00114342,                0.345
          0.00123213,                 0.35
          0.00132797,                0.355
          0.00143158,                 0.36
          0.00154362,                0.365
          0.00166483,                 0.37
          0.00179601,                0.375
          0.00193805,                 0.38
          0.00209192,                0.385
          0.00225868,                 0.39
          0.00243949,                0.395
          0.00263564,                  0.4
          0.00284853,                0.405
          0.00307971,                 0.41
           0.0033309,                0.415
          0.00360397,                 0.42
            0.003901,                0.425
          0.00422428,                 0.43
          0.00457635,                0.435
          0.00496001,                 0.44
          0.00537836,                0.445
          0.00583485,                 0.45
          0.00633328,                0.455
          0.00687789,                 0.46
          0.00747339,                0.465
          0.00812501,                 0.47
          0.00883858,                0.475
          0.00962061,                 0.48
           0.0104783,                0.485
           0.0114199,                 0.49
           0.0124543,                0.495
           0.0135917,                  0.5
           0.0148436,                0.505
           0.0162225,                 0.51
           0.0177429,                0.515
           0.0194209,                 0.52
           0.0212745,                0.525
           0.0233242,                 0.53
            0.025593,                0.535
           0.0281069,                 0.54
           0.0308951,                0.545
           0.0339908,                 0.55
           0.0374315,                0.555
           0.0412596,                 0.56
            0.045523,                0.565
           0.0502761,                 0.57
           0.0555804,                0.575
           0.0615054,                 0.58
           0.0681297,                0.585
           0.0755421,                 0.59
           0.0838424,                0.595
            0.093143,                  0.6
             0.10357,                0.605
            0.115263,                 0.61
            0.128378,                0.615
            0.143085,                 0.62
             0.15957,                0.625
            0.178032,                 0.63
            0.198682,                0.635
            0.221736,                 0.64
            0.247409,                0.645
            0.275905,                 0.65
            0.307399,                0.655
            0.342026,                 0.66
             0.37985,                0.665
             0.42084,                 0.67
            0.464842,                0.675
            0.511549,                 0.68
            0.560477,                0.685
            0.610954,                 0.69
            0.662119,                0.695
            0.712957,                  0.7

