------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         2.11637e-12,                0.005
         3.33087e-12,               0.0075
         4.66029e-12,                 0.01
         6.11334e-12,               0.0125
         7.69939e-12,                0.015
         9.42846e-12,               0.0175
         1.13113e-11,                 0.02
         1.33593e-11,               0.0225
         1.55849e-11,                0.025
         1.80012e-11,               0.0275
         2.06222e-11,                 0.03
         2.34631e-11,               0.0325
         2.65401e-11,                0.035
         2.98703e-11,               0.0375
         3.34723e-11,                 0.04
         4.15723e-11,                0.045
         5.10157e-11,                 0.05
         6.20037e-11,                0.055
         7.47666e-11,                 0.06
         8.95684e-11,                0.065
         1.06711e-10,                 0.07
         1.26541e-10,                0.075
         1.49455e-10,                 0.08
         1.75906e-10,                0.085
         2.06415e-10,                 0.09
         2.41579e-10,                0.095
         2.82081e-10,                  0.1
         3.28704e-10,                0.105
         3.82346e-10,                 0.11
         4.44038e-10,                0.115
         5.14961e-10,                 0.12
         5.96472e-10,                0.125
         6.90128e-10,                 0.13
         7.97716e-10,                0.135
         9.21291e-10,                 0.14
         1.06321e-09,                0.145
         1.22619e-09,                 0.15
         1.41335e-09,                0.155
         1.62829e-09,                 0.16
         1.87513e-09,                0.165
         2.15863e-09,                 0.17
         2.48429e-09,                0.175
         2.85842e-09,                 0.18
         3.28833e-09,                0.185
         3.78243e-09,                 0.19
         4.35046e-09,                0.195
         5.00364e-09,                  0.2
         5.75498e-09,                0.205
          6.6195e-09,                 0.21
         7.61463e-09,                0.215
         8.76053e-09,                 0.22
         1.00806e-08,                0.225
         1.16019e-08,                 0.23
         1.33561e-08,                0.235
         1.53796e-08,                 0.24
         1.77152e-08,                0.245
         2.04123e-08,                 0.25
         2.35287e-08,                0.255
         2.71318e-08,                 0.26
            3.13e-08,                0.265
         3.61252e-08,                 0.27
         4.17148e-08,                0.275
         4.81942e-08,                 0.28
         5.57106e-08,                0.285
         6.44367e-08,                 0.29
          7.4575e-08,                0.295
         8.63636e-08,                  0.3
         1.00083e-07,                0.305
         1.16063e-07,                 0.31
         1.34693e-07,                0.315
         1.56433e-07,                 0.32
         1.81826e-07,                0.325
         2.11517e-07,                 0.33
         2.46269e-07,                0.335
         2.86988e-07,                 0.34
         3.34752e-07,                0.345
         3.90845e-07,                 0.35
         4.56796e-07,                0.355
         5.34435e-07,                 0.36
         6.25949e-07,                0.365
          7.3396e-07,                 0.37
         8.61618e-07,                0.375
         1.01271e-06,                 0.38
          1.1918e-06,                0.385
          1.4044e-06,                 0.39
         1.65719e-06,                0.395
         1.95824e-06,                  0.4
         2.31739e-06,                0.405
          2.7466e-06,                 0.41
         3.26049e-06,                0.415
         3.87695e-06,                 0.42
         4.61792e-06,                0.425
         5.51039e-06,                 0.43
         6.58768e-06,                0.435
           7.891e-06,                 0.44
         9.47148e-06,                0.445
         1.13928e-05,                 0.45
         1.37345e-05,                0.455
         1.65963e-05,                 0.46
         1.82602e-05,               0.4625
         2.01036e-05,                0.465
         2.21473e-05,               0.4675
         2.44149e-05,                 0.47
         2.69329e-05,               0.4725
         2.97311e-05,                0.475
         3.28435e-05,               0.4775
         3.63081e-05,                 0.48
         4.01684e-05,               0.4825
         4.44734e-05,                0.485
         4.92787e-05,               0.4875
         5.46478e-05,                 0.49
         6.06527e-05,               0.4925
         6.73754e-05,                0.495
         7.49098e-05,               0.4975
          8.3363e-05,                  0.5
         9.28575e-05,               0.5025
         0.000103534,                0.505
         0.000115554,               0.5075
         0.000129103,                 0.51
         0.000144395,               0.5125
         0.000161678,                0.515
         0.000181236,               0.5175
         0.000203401,                 0.52
         0.000228557,               0.5225
         0.000257152,                0.525
         0.000289706,               0.5275
         0.000326831,                 0.53
         0.000369238,               0.5325
         0.000417768,                0.535
         0.000473407,               0.5375
         0.000537322,                 0.54
         0.000610893,               0.5425
         0.000695759,                0.545
         0.000793873,               0.5475
         0.000907569,                 0.55
          0.00103965,               0.5525
          0.00119348,                0.555
          0.00137313,               0.5575
          0.00158354,                 0.56
          0.00183073,               0.5625
          0.00212207,                0.565
          0.00246662,               0.5675
          0.00287557,                 0.57
          0.00336284,               0.5725
          0.00394584,                0.575
          0.00464644,               0.5775
          0.00549236,                 0.58
          0.00651894,               0.5825
          0.00777156,                0.585
          0.00850037,              0.58625
          0.00930901,               0.5875
           0.0102077,              0.58875
           0.0112081,                 0.59
           0.0123238,              0.59125
           0.0135701,               0.5925
           0.0149653,              0.59375
             0.01653,                0.595
           0.0182885,              0.59625
           0.0202691,               0.5975
           0.0225049,              0.59875
           0.0250346,                  0.6
           0.0279039,              0.60125
           0.0311667,               0.6025
           0.0348868,              0.60375
           0.0391398,                0.605
            0.044016,              0.60625
           0.0496233,               0.6075
           0.0560906,              0.60875
           0.0635732,                 0.61
           0.0722577,              0.61125
            0.082369,               0.6125
           0.0941787,              0.61375
            0.108014,                0.615
            0.124269,              0.61625
            0.143414,               0.6175
             0.16601,              0.61875
            0.192715,                 0.62
            0.224283,              0.62125
            0.261551,               0.6225
            0.305402,              0.62375
            0.356672,                0.625
            0.416006,              0.62625
            0.483606,               0.6275
            0.558904,              0.62875
            0.640153,                 0.63
            0.724093,              0.63125
            0.805877,               0.6325
            0.879512,              0.63375
            0.938899,                0.635
            0.979252,              0.63625
            0.998294,               0.6375
             0.99668,              0.63875
             0.97749,                 0.64
            0.945138,              0.64125
             0.90426,               0.6425
            0.858925,              0.64375
            0.812286,                0.645
            0.723071,               0.6475
            0.645629,                 0.65
             0.58185,               0.6525
            0.530664,                0.655
            0.490147,               0.6575
            0.458388,                 0.66
            0.433759,               0.6625
            0.414962,                0.665
            0.400992,               0.6675
            0.391081,                 0.67
            0.384649,               0.6725
             0.38126,                0.675
            0.382406,                 0.68
            0.392866,                0.685
            0.411866,                 0.69
            0.439164,                0.695
            0.474801,                  0.7

